"",avg growth rate,price,ep,mkt
ABAX,0.372794006958677,66.949997,0.0173637050349681,7.0081885406366
ACXM,-1.41313456171351,27.969999,0.00107257780023517,7.59624150163431
AGYS,-0.077277670935624,11.66,-0.00921955403087479,5.50014228200557
AIR,1.00029155229139,43.209999,0.0293913452763561,6.92031196281983
AIRT,-0.0859711950007424,27,0.0182407407407407,3.8362800820852
AMSWA,0.158133365067248,13,0.0286538461538462,5.65112895733913
AMWD,0.533876629368099,138.75,0.0205945945945946,6.8963698350967
AVAV,0.566638005090301,50,0.0083,6.52550505801937
AVX,0.155451404035293,17.459999,0.0492554438290632,7.76993737817302
BAH,0.0415736945442747,38.060001,0.0438124003202207,8.36628610046241
BGI,-0.411915545630287,1.21,-0.0537190082644628,2.91370708122238
BRS,-0.373085974769273,15.89,0.00739458779106356,7.27776020759199
CA,-0.0530278160749088,34.849998,0.0543758998207116,9.5032167238956
CAE,0.0984224538404035,18.469999,0.0442609661213301,8.37138324492954
CAG,-0.69919159480588,35.939999,-7.72275358594999e-19,9.71464126943523
CASY,0.153590480476206,112.720001,0.0401215397434214,8.19962354875131
CDMO,0.0117273125894613,2.47,-0.0941295546558704,5.34482170592369
CMCO,-0.309089877550715,35.529999,0.0299043070617593,6.18720642839711
CO,-0.0232420234614297,10.66,0.0211069418386492,5.98794931340719
CPAH,-0.243182441914083,3.78,-0.0906084656084656,3.15244645052725
CRMT,0.177945820352042,49.700001,0.0468812867830727,5.74612531210835
CRUS,0.621259447111029,42.689999,0.0485476703805966,7.77398298043622
CRVL,-0.0458437329576774,48.650002,0.0304213759333453,6.72612710174501
CSBK,-0.0570641429074817,15.67,0.0161135928525846,5.87523833803047
CTAS,0.151230229153809,167.080002,0.0258409142226369,9.21119456205194
CULP,0.102101524994449,28.549999,0.0504378301379275,5.74896853278345
CVCO,0.331643891132535,165.75,0.017948717948718,6.69711933663891
CVLT,0.458757082891501,53,0.00867924528301887,7.74202264213472
DAKT,1.01900878928905,9.03,0.0348837209302326,6.12542709677095
DRI,0.428392288542882,95.190002,0.0376089917510455,9.06670432744875
DSWL,-0.382286286218251,3.19,-0.0666144200626959,3.40990849615892
EGHT,-1.32143994039015,18.6,-0.000806451612903226,6.90514374689877
ENS,0.044486711646532,73.160004,0.0458583900569497,7.9996731851896
EROS,-0.18423918558942,13.05,0.0273946360153257,6.64817330784437
ESIO,0.491565861862085,17.309999,-0.0613807083408844,5.4645018135706
EXP,0.206528941551501,103.410004,0.0322744402949641,8.33957329646765
FDX,0.293583979206297,245.429993,0.0285009990608605,10.7482821731456
FIZZ,0.373433122082463,98.230003,0.0141759132390539,7.62959425983244
FLEX,0.0340371468177847,17.66,0.0423272933182333,8.85727454661241
GHM,-0.104065715877281,20.66,0.0433204259438529,5.50185109597791
GIS,0.0119165112101762,54.950001,0.0470427652949451,10.4447288006871
GSIT,-0.568918768517064,7.83,-0.0172413793103448,5.00272139497441
HAE,-1.77863965918241,69.25,-0.00220216606498195,7.59068346047584
HIHO,0.146206425969039,4.5,0.0516666666666667,2.60867727952771
HRB,-0.0401112808308729,26.15,0.0652963671128107,8.76861041663558
HWKN,0.0831125179307053,34.599998,0.0532514481648236,6.04462455435245
IDTI,0.234589682880673,29.030001,0.0285049938510164,7.89119622168638
JE,0.159315084817343,4.9,0.036734693877551,7.02762571228516
KEM,0.0345120948971307,18.07,-0.0294687327061428,5.61647396261723
KEQU,0.056975092925258,26.450001,0.0556710753999593,3.87436734693766
KFY,0.429512761010406,42.310001,0.0312573852219952,7.38410274348693
KORS,-0.0190847655986754,63.77,0.0597067586639486,9.39615366721657
LABL,0.313901727148488,66.449997,0.0406696782845603,6.86400300580246
LNDC,-1.3539224809454,13,0.0223076923076923,5.86298828432869
LXFT,0.078917418128401,44.799999,0.0411272330608757,7.43322697844304
LZB,0.163146820813499,31.1,0.0453376205787781,7.17360199191175
MCHP,-0.226713635442959,83.919998,0.0168910871518372,9.35385965972358
MDT,0.11129002705114,80.410004,0.0335779115245412,11.4853502720343
MEI,-0.00435562147107546,40.099998,0.060847883334059,7.21052660882177
MLAB,0.0771775519822431,138.960007,0.0197898665908962,5.84360948737801
MLHR,-1.70111637414705,37.25,0.0373154362416107,7.5076615785115
MNRO,0.0455879363569901,51.950001,0.035611163895839,7.58437872903368
MOC,-1.03419263966305,3.09,-0.0210355987055016,3.03452260564509
MSN,-0.60972176388762,1.45,0.0120689655172414,3.63653955959991
NATH,0.0513915116793533,65.949997,0.028468538065286,5.43002894807033
NAUH,-0.231951762324459,1.15,-0.0152173913043478,4.22519700507959
NEOG,0.159654302008695,59.490002,0.0158429982907044,7.5223747983974
